Date Open High Low Close Volume Adjusted DeltaVolPerc DeltaVolElder OBV VolSize RSI14 RSI14L1 RSI14L2 DeltaRSI14 DeltaRSI14L2 DiffRSI14L1 DiffRSI14L2 MA10 DeltaMA10 MA10L1 MA20 DeltaMA20 DeltaMA20M10 MACD Signal DeltaMACD DeltaSignal GapUp GapDown ReturnL1 ReturnL2 Return Decision
2010-07-22 4.1 4.25 4.074 4.2 4789000 4.2 -0.235289421157685 low -525.34 low 42.135591740516 39.0041875661497 39.2062537582682 0.0802837943760656 0.0747160899459834 3.13140417436626 2.92933798224782 3.9278 0.0183562354161267 3.857 NA NA NA NA NA NA NA FALSE FALSE -0.00394088669950739 -0.073482428115016 0.0385756676557865 Up
2010-07-23 4.238 4.312 4.212 4.258 3268000 4.258 -0.317602839841303 low -492.66 low 43.3010644014378 42.135591740516 39.0041875661497 0.0276600520552578 0.110164500362959 1.16547266092176 4.29687683528802 4.0056 0.0198075258414381 3.9278 NA NA NA NA NA NA NA TRUE FALSE 0.0385756676557865 -0.00394088669950739 0.0138095238095238 Down
2010-07-26 4.3 4.3 4.06 4.19 4611000 4.19 0.410954712362301 low -538.77 low 42.2272023722647 43.3010644014378 42.135591740516 -0.0247998991252846 0.00217418642920277 -1.07386202917311 0.091610631748658 4.0836 0.0194727381665666 4.0056 NA NA NA NA NA NA NA FALSE FALSE 0.0138095238095238 0.0385756676557865 -0.0159699389384687 Down
2010-07-27 4.182 4.236 4.052 4.11 3098500 4.11 -0.328019952288007 low -569.755 low 40.9408138869218 42.2272023722647 43.3010644014378 -0.0304635025072778 -0.054507909843379 -1.28638848534281 -2.36025051451592 4.1318 0.0118033108041923 4.0836 3.9743 NA -0.157500000000001 NA NA NA NA FALSE TRUE -0.0159699389384687 0.0138095238095238 -0.0190930787589499 Up
2010-07-28 4.11 4.18 4.102 4.144 2336000 4.144 -0.246086816201388 low -546.395 low 41.7529473443048 40.9408138869218 42.2272023722647 0.0198367687468573 -0.0112310312148767 0.812133457382991 -0.474255027959821 4.1494 0.00425964470690758 4.1318 3.9426 -0.00797624738947746 -0.206800000000002 NA NA NA NA FALSE FALSE -0.0190930787589499 -0.0159699389384687 0.00827250608272501 Down
2010-07-29 4.154 4.176 4 4.07 3080000 4.07 0.318493150684932 low -577.195 low 40.4492176512127 41.7529473443048 40.9408138869218 -0.0312248541963096 -0.0120074856612988 -1.30372969309211 -0.491596235709117 4.1586 0.00221718802718462 4.1494 3.9078 -0.00882666260843114 -0.250800000000002 NA NA NA NA FALSE FALSE 0.00827250608272501 -0.0190930787589499 -0.0178571428571428 Down
2010-07-30 4.04 4.088 3.91 3.988 2134500 3.988 -0.306980519480519 low -598.54 low 38.9961398942336 40.4492176512127 41.7529473443048 -0.0359235070875496 -0.0660266550128303 -1.45307775697918 -2.75680745007129 4.1446 -0.00336651757803112 4.1586 3.8876 -0.00516914888172362 -0.257000000000001 NA NA NA NA FALSE TRUE -0.0178571428571428 0.00827250608272501 -0.0201474201474202 Up
2010-08-02 4.1 4.194 4.066 4.184 3590500 4.184 0.682126961817756 low -562.635 low 44.1597450259312 38.9961398942336 40.4492176512127 0.132413237456388 0.0917329824945881 5.16360513169766 3.71052737471848 4.1248 -0.0047773005838923 4.1446 3.9048 0.00442432349007085 -0.220000000000002 NA NA NA NA TRUE FALSE -0.0201474201474202 -0.0178571428571428 0.049147442326981 Up
2010-08-03 4.2 4.39 4.164 4.39 6152500 4.39 0.713549644896254 high -501.11 low 49.0418302953249 44.1597450259312 38.9961398942336 0.110555105481856 0.257607302372429 4.88208526939369 10.0456904010913 4.1578 0.0080003878975949 4.1248 3.9632 0.0149559516492523 -0.194600000000001 NA NA NA NA TRUE FALSE 0.049147442326981 -0.0201474201474202 0.0492351816443593 Down
2010-08-04 4.39 4.436 4.17 4.252 4565000 4.252 -0.258025193010971 medium -546.76 low 46.1320684493759 49.0418302953249 44.1597450259312 -0.0593322440950251 0.0446633788824302 -2.90976184594901 1.97232342344468 4.1786 0.00500264562990052 4.1578 4.0178 0.0137767460637868 -0.160800000000002 3.34237032832305 NA NA NA FALSE FALSE 0.0492351816443593 0.049147442326981 -0.0314350797266515 Down
2010-08-05 4.308 4.31 4.01 4.09 3981000 4.09 -0.127929901423877 medium -586.57 low 42.9132064882561 46.1320684493759 49.0418302953249 -0.0697749324778723 -0.124967273247406 -3.21886196111979 -6.1286238070688 4.1676 -0.00263246063274763 4.1786 4.0477 0.00744188361790046 -0.119900000000002 2.96369651196342 NA -0.113294991028005 NA FALSE FALSE -0.0314350797266515 0.0492351816443593 -0.0380997177798683 Down
2010-08-06 4.02 4.032 3.904 3.918 3709500 3.918 -0.0681989449886963 medium -623.665 low 39.7425224328172 42.9132064882561 46.1320684493759 -0.0738859739205604 -0.138505517557064 -3.17068405543891 -6.3895460165587 4.1336 -0.00815817256934463 4.1676 4.0696 0.0054104800256935 -0.0640000000000018 2.30026170071842 NA -0.223853828678795 NA FALSE TRUE -0.0380997177798683 -0.0314350797266515 -0.0420537897310513 Up
2010-08-09 3.98 3.996 3.89 3.92 4063500 3.92 0.0954306510311363 medium -583.03 low 39.7982227344542 39.7425224328172 42.9132064882561 0.00140152909849064 -0.0725879981644897 0.0557003016370103 -3.1149837538019 4.1066 -0.00653183665569945 4.1336 4.0951 0.00626597208570891 -0.0115000000000016 1.75679811971201 NA -0.236261630942546 NA FALSE FALSE -0.0420537897310513 -0.0380997177798683 0.000510464522715615 Down
2010-08-10 3.93 3.93 3.764 3.806 6406500 3.806 0.576596530084902 high -647.095 low 37.6612412102177 39.7982227344542 39.7425224328172 -0.0536954008849853 -0.0523691274532901 -2.13698152423645 -2.08128122259944 4.0762 -0.00740271757658408 4.1066 4.104 0.00217332910063239 0.0277999999999983 1.08505089264568 NA -0.382370187859975 NA FALSE FALSE 0.000510464522715615 -0.0420537897310513 -0.0290816326530612 Down
2010-08-11 3.738 3.776 3.57 3.58 3988000 3.58 -0.377507219230469 medium -686.975 low 33.7878935672712 37.6612412102177 39.7982227344542 -0.102847052260605 -0.151020039444618 -3.87334764294653 -6.01032916718298 4.0198 -0.0138364162700554 4.0762 4.0846 -0.00472709551656922 0.0647999999999982 0.09057793184577 NA -0.916521950758536 NA FALSE TRUE -0.0290816326530612 0.000510464522715615 -0.0593799264319495 Down
2010-08-12 3.56 3.58 3.478 3.52 3455000 3.52 -0.133650952858576 medium -721.525 low 32.8227448451085 33.7878935672712 37.6612412102177 -0.0285649272642904 -0.128474160957725 -0.965148722162688 -4.83849636510921 3.9648 -0.0136822727498881 4.0198 4.0617 -0.00560642412965772 0.0968999999999984 -0.823767412159404 NA -10.0945707786976 NA FALSE TRUE -0.0593799264319495 -0.0290816326530612 -0.0167597765363129 Up
2010-08-13 3.636 3.69 3.532 3.664 3170000 3.664 -0.0824891461649783 medium -689.825 low 37.4414052608708 32.8227448451085 33.7878935672712 0.140715239921519 0.108130792063893 4.61866041576225 3.65351169359956 3.9324 -0.00817191283292966 3.9648 4.0385 -0.00571189403451759 0.106099999999998 -1.24540040936949 NA 0.51183500462203 NA TRUE FALSE -0.0167597765363129 -0.0593799264319495 0.0409090909090909 Up
2010-08-16 3.69 3.76 3.652 3.756 2429000 3.756 -0.233753943217666 low -665.535 low 40.267051251178 37.4414052608708 32.8227448451085 0.0754684812340685 0.226803286598952 2.82564599030718 7.44430640606943 3.8896 -0.0108839385616925 3.9324 4.0072 -0.00775040237712041 0.117599999999997 -1.37469241603219 0.899432805294141 0.103815612786054 NA TRUE FALSE 0.0409090909090909 -0.0167597765363129 0.0251091703056768 Up
